geonameid,asciiname,latitude,longitude,country code,population,modification date
3039154,El Tarter,42.57952,1.65362,AD,1052,2012-11-03
3039163,Sant Julia de Loria,42.46372,1.49129,AD,8022,2013-11-23
3039604,Pas de la Casa,42.54277,1.73361,AD,2363,2008-06-09
3039678,Ordino,42.55623,1.53319,AD,3066,2009-12-11
3040051,les Escaldes,42.50729,1.53414,AD,15853,2008-10-15
3040132,la Massana,42.54499,1.51483,AD,7211,2008-10-15
3040686,Encamp,42.53474,1.58014,AD,11223,2012-04-13
3041204,Canillo,42.5676,1.59756,AD,3292,2012-12-24
3041519,Arinsal,42.57205,1.48453,AD,1419,2010-01-29
3041563,Andorra la Vella,42.50779,1.52109,AD,20430,2010-05-30
290594,Umm al Qaywayn,25.56473,55.55517,AE,44411,2014-10-07
291074,Ras al-Khaimah,25.78953,55.9432,AE,115949,2015-12-05
291279,Muzayri`,23.14355,53.7881,AE,10000,2013-10-24
291696,Khawr Fakkan,25.33132,56.34199,AE,33575,2013-10-25
292223,Dubai,25.0657,55.17128,AE,1137347,2014-12-02
292231,Dibba Al-Fujairah,25.59246,56.26176,AE,30000,2014-08-12
292239,Dibba Al-Hisn,25.61955,56.27291,AE,26395,2014-04-21
292672,Sharjah,25.33737,55.41206,AE,543733,2013-03-05
292688,Ar Ruways,24.11028,52.73056,AE,16000,2012-11-03
292878,Al Fujayrah,25.11641,56.34141,AE,62415,2016-12-18
292913,Al Ain,24.19167,55.76056,AE,408733,2013-03-17
292932,Ajman,25.41111,55.43504,AE,226172,2013-03-24
292953,Adh Dhayd,25.28812,55.88157,AE,24716,2012-01-18
292968,Abu Dhabi,24.46667,54.36667,AE,603492,2016-06-03
1120471,Zorkot,33.54149,69.73446,AF,0,2018-02-17
1120473,Wuleswali Bihsud,34.3436,67.90567,AF,0,2018-02-17
1120483,Kuhsan,34.65389,61.19778,AF,12087,2018-02-17
1120484,Lash,35.3782,64.77457,AF,0,2018-02-17
1120487,Tukzar,35.94831,66.42132,AF,12021,2018-02-17
1120500,Miray,33.32462,68.44068,AF,0,2018-02-17
1120501,Aq Kupruk,36.08352,66.84029,AF,0,2018-02-17
1120543,Zurmat,33.43778,69.02774,AF,0,2018-02-17
1120616,Zaybak,36.52947,71.3441,AF,0,2018-02-17
1120627,Ziarat-e Shah Maqsud,31.9848,65.4736,AF,0,2018-02-17
1120711,Zindah Jan,34.34264,61.74675,AF,10104,2018-02-17
1120863,Zarghun Shahr,32.84734,68.44573,AF,13737,2018-02-17
1120879,Zarah Sharan,33.14641,68.79213,AF,7366,2018-02-17
1120985,Zaranj,30.95962,61.86037,AF,49851,2018-02-13
1121045,Zamto Kelay,32.3726,66.17708,AF,0,2018-02-17
1121271,Yangi Qal'ah,37.46572,69.61131,AF,6541,2018-02-17
1121418,Yahya Khel,32.93742,68.64622,AF,0,2018-02-17
1121855,Washer,32.25122,63.85553,AF,0,2018-02-17
1122068,Tormay,33.68847,68.40205,AF,0,2018-02-17
1122189,Tulak,33.97509,63.72868,AF,0,2018-02-17
1122402,Titan,33.69032,63.86361,AF,0,2018-02-17
1122408,Tir Pul,34.59431,61.26895,AF,6979,2018-02-17
1122464,Taywarah,33.52118,64.42116,AF,0,2018-02-17
1122705,Bazar-e Tashkan,36.88168,70.27674,AF,0,2018-02-17
1122747,Tarinkot,32.62998,65.87806,AF,10000,2018-02-13
1123004,Taloqan,36.73605,69.53451,AF,64256,2018-02-17
1123343,Tagaw-Bay,35.69941,66.06164,AF,9096,2018-02-17
1123424,Tagab,34.85501,69.64917,AF,6400,2018-02-17
1123666,Markaz-e Hukumat-e Sultan-e Bakwah,32.24139,62.94936,AF,0,2018-02-17
